fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48097,US,TX,Cooke County,county,,iso1:us#iso2:us-tx#fips:48097,,41257,0.0074,other,2.077569521,,0.812660106,0.95012994,0.182748538,,0.657894736,1,0,1,4,0,0,0,3785,72,,,,78,22,1,0.38,5,3,0,0.49,0,,12351,9961,5/31/21,https://covidactnow.org/us/texas-tx/county/cooke_county,0.29936738,0.241437817,0,21371
48099,US,TX,Coryell County,county,,iso1:us#iso2:us-tx#fips:48099,,75951,0.0071,other,5.793208779,,0.712041849,0.636474206,1.52173913,,,1,0,1,4,0,3,4,7300,86,,,,25,8,2,0.31,1,1,1,,0,,19920,14986,5/31/21,https://covidactnow.org/us/texas-tx/county/coryell_county,0.262274361,0.197311424,0,33486
48101,US,TX,Cottle County,county,,iso1:us#iso2:us-tx#fips:48101,,1398,,other,0,,,,,,,0,4,0,4,4,4,4,190,7,,,,,,0,,,,0,,0,,444,395,5/31/21,https://covidactnow.org/us/texas-tx/county/cottle_county,0.317596567,0.282546495,0,786
48103,US,TX,Crane County,county,,iso1:us#iso2:us-tx#fips:48103,,4797,,other,5.956103517,,1,1.167521158,,,,1,4,1,4,1,4,4,536,12,,,,25,8,0,0.07,2,,0,,0,,1377,870,5/31/21,https://covidactnow.org/us/texas-tx/county/crane_county,0.287054409,0.181363352,0,2223
48105,US,TX,Crockett County,county,,iso1:us#iso2:us-tx#fips:48105,,3464,,other,4.124051468,,1,1.167521158,,,,1,4,1,4,1,4,4,576,15,,,,,,0,,,,0,,0,,1182,1008,5/31/21,https://covidactnow.org/us/texas-tx/county/crockett_county,0.341224018,0.290993072,0,2162
48107,US,TX,Crosby County,county,,iso1:us#iso2:us-tx#fips:48107,,5737,0.25,other,14.94061107,,1.088949023,1.152158518,,,,3,3,2,4,1,4,4,662,29,,,,25,0,0,0.07,0,,0,,0,,1985,1757,5/31/21,https://covidactnow.org/us/texas-tx/county/crosby_county,0.345999651,0.306257626,0,3679
48109,US,TX,Culberson County,county,,iso1:us#iso2:us-tx#fips:48109,,2171,,other,6.580246101,,1,1.167521158,,,,1,4,1,4,1,4,4,364,11,,,,14,0,0,0.2,0,,0,,0,,985,884,5/31/21,https://covidactnow.org/us/texas-tx/county/culberson_county,0.453707969,0.407185629,0,1863
48111,US,TX,Dallam County,county,,iso1:us#iso2:us-tx#fips:48111,,7287,,other,10.97845478,,,,,,,2,4,2,4,4,4,4,989,26,,,,,9,0,,,,0,,0,,2530,1937,5/31/21,https://covidactnow.org/us/texas-tx/county/dallam_county,0.347193632,0.265815836,0,4425
48113,US,TX,Dallas County,county,,iso1:us#iso2:us-tx#fips:48113,,2635516,0.0323,other,4.56402899,,0.878120152,0.119852904,0.156204073,,0.8465253,1,1,1,4,0,0,2,293953,4078,,,,9374,5002,179,0.66,680,576,53,0.71,102,,1159724,906204,5/31/21,https://covidactnow.org/us/texas-tx/county/dallas_county,0.44003679,0.343843103,1,1996739
48115,US,TX,Dawson County,county,,iso1:us#iso2:us-tx#fips:48115,,12728,0.0115,other,1.122384843,,1,1.167521158,,,,1,0,1,4,1,4,4,1737,69,,,,22,3,1,0.13,9,7,3,,0,,3177,2422,5/31/21,https://covidactnow.org/us/texas-tx/county/dawson_county,0.249607165,0.190289126,0,5242
48117,US,TX,Deaf Smith County,county,,iso1:us#iso2:us-tx#fips:48117,,18546,0.0357,other,19.25713669,,1.222232227,0.846693805,1.193695652,,,2,1,2,4,2,3,4,2858,66,,,,42,4,1,0.12,2,0,1,,0,,5369,4433,5/31/21,https://covidactnow.org/us/texas-tx/county/deaf_smith_county,0.289496387,0.239027284,0,9207
48119,US,TX,Delta County,county,,iso1:us#iso2:us-tx#fips:48119,,5331,0.1667,other,0,,,,,,,0,2,0,4,4,4,4,323,12,,,,,,0,,,,0,,0,,1351,1174,5/31/21,https://covidactnow.org/us/texas-tx/county/delta_county,0.253423373,0.220221347,0,2435
48121,US,TX,Denton County,county,,iso1:us#iso2:us-tx#fips:48121,,887207,0.037,other,5.683969066,,0.822994491,0.212478026,0.288515018,,0.830645161,1,1,1,4,0,0,2,76046,765,,,,1592,618,28,0.58,70,58,11,0.63,0,,421752,354738,5/31/21,https://covidactnow.org/us/texas-tx/county/denton_county,0.47537046,0.399836791,0,754840
48123,US,TX,DeWitt County,county,,iso1:us#iso2:us-tx#fips:48123,,20160,0.069,other,0.826719577,,0.950257652,1.183132782,,,0.266666666,0,1,0,4,1,4,0,1930,59,,,,49,19,0,0.22,4,1,0,,0,,6678,5481,5/31/21,https://covidactnow.org/us/texas-tx/county/de_witt_county,0.33125,0.271875,0,11574
48125,US,TX,Dickens County,county,,iso1:us#iso2:us-tx#fips:48125,,2211,,other,0,,,,,,,0,4,0,4,4,4,4,186,10,,,,,,0,,,,0,,0,,564,511,5/31/21,https://covidactnow.org/us/texas-tx/county/dickens_county,0.255088195,0.231117142,0,1006
48127,US,TX,Dimmit County,county,,iso1:us#iso2:us-tx#fips:48127,,10124,0.0659,other,69.14263137,,0.802885711,0.714671804,,,,3,1,3,4,0,4,4,2222,36,,,,25,14,0,0.21,3,0,0,,0,,4821,3757,5/31/21,https://covidactnow.org/us/texas-tx/county/dimmit_county,0.47619518,0.37109838,0,8534
48129,US,TX,Donley County,county,,iso1:us#iso2:us-tx#fips:48129,,3278,,other,0,,,,,,,0,4,0,4,4,4,4,418,15,,,,,,0,,,,0,,0,,1033,802,5/31/21,https://covidactnow.org/us/texas-tx/county/donley_county,0.315131178,0.244661379,0,1781
48131,US,TX,Duval County,county,,iso1:us#iso2:us-tx#fips:48131,,11157,0.04,other,17.92596576,,1.257783236,0.967353033,,,,2,1,2,4,2,4,4,1274,41,,,,,,1,,,,0,,0,,5266,4282,5/31/21,https://covidactnow.org/us/texas-tx/county/duval_county,0.471990678,0.383794927,0,9130
48133,US,TX,Eastland County,county,,iso1:us#iso2:us-tx#fips:48133,,18360,0.043,other,1.556178027,,1.014452499,1.162985244,0.719644269,,,1,1,1,4,1,3,4,1362,49,,,,52,3,3,0.24,1,1,1,,0,,5107,4193,5/31/21,https://covidactnow.org/us/texas-tx/county/eastland_county,0.278159041,0.228376906,0,8625
